id,user_id,cart_id,offer_id,type,total_price,status,created_at,updated_at
bbc6184a-bf92-45be-b3d2-a3b06214a331,33121349-5194-46be-970b-c753a0592de9,c668daf7-995f-43ec-a3a1-75dec8b41338,173797.0,in_store,1511.0,CONFIRMED,2024-12-30 14:48:23.224404,2024-12-30 14:48:23.224405
e6996ce7-c220-4016-8579-5869e094427e,df2695c5-e33f-4af6-a36d-a09e40ebdbf8,252ce2b1-9041-48ef-b6ce-1f59c06188bd,585783.0,drive_thru,798.0,CONFIRMED,2024-12-30 14:48:23.652968,2024-12-30 14:48:23.652969
a93ee8d3-1a65-4a2c-a95a-3c68994a18cc,e5f0b2f7-776c-40bb-bced-7e8dbbdba840,38f92ee5-0676-49a6-818b-c6b3d63ae6a4,586065.0,drive_thru,941.0,CONFIRMED,2024-12-30 14:48:23.961838,2024-12-30 14:48:23.961839
06c76373-23a2-4cd6-a7dc-06c9a54d5cb0,d0bdd62a-1c39-41d5-b95e-3099324bacf6,0646abbd-b615-4f3a-80e6-9bd758f57c46,387819.0,delivery,138.0,CONFIRMED,2024-12-30 14:48:32.557134,2024-12-30 14:48:32.557135
8c374a1c-814a-400c-b5cb-6e3513099cd2,fb3e7364-e21a-4aba-b5a4-a5f69678b07c,3081182e-6491-45c2-b89d-d3ce0f0487d7,,in_store,324.0,CONFIRMED,2024-12-30 14:48:40.217315,2024-12-30 14:48:40.217318
53e30503-6ba1-43ba-a334-e771c3df70a0,f7d44d1c-9eda-473b-aeeb-ecacf88b547d,8ebe93b2-aaf6-4372-83a9-5f7e63b8e59a,,drive_thru,75.0,CONFIRMED,2024-12-30 14:48:47.028650,2024-12-30 14:48:47.028652
537549fa-07b7-4d17-a5de-5d4d510560db,2cc8f2d1-6aa1-4b00-8bd3-0bce404ed4b3,2edcaa58-d3e8-44a6-9116-17a8f3401fbe,179271.0,in_store,61.0,CONFIRMED,2024-12-30 14:48:54.209109,2024-12-30 14:48:54.209110
f36f2627-45a6-458a-a0f4-9a49d52789e1,efb4104e-8ba0-4e3c-b909-6444d10e2a0f,19c3e915-2bd2-4d89-a341-794aad39abdd,,delivery,711.0,CONFIRMED,2024-12-30 14:49:03.501021,2024-12-30 14:49:03.501024
44ce9311-98e0-46ae-bd4f-c9ec6479cb4d,3c68fb58-abf0-46eb-855e-f2b898f94b62,03d2d751-06d5-400d-aa37-4cc2f457d4bf,,delivery,435.0,CONFIRMED,2024-12-30 14:49:13.683352,2024-12-30 14:49:13.683358
4d966702-f9a8-4ee1-99a6-9310c78ed07b,566c06e8-5289-4a4b-97c7-12a3ec392906,657bb927-e9c1-4359-9a3e-ed35262495be,476384.0,in_store,548.0,CONFIRMED,2024-12-30 14:49:21.088103,2024-12-30 14:49:21.088104
