id,user_id,order_id,payment_method,payment_card_gateway,status
42e5d45c-7a59-4d55-819e-a8a14c94dc6b,33121349-5194-46be-970b-c753a0592de9,bbc6184a-bf92-45be-b3d2-a3b06214a331,cash,,PAID
8b44c83e-c73a-44d1-9364-6e871b31d2b2,eb614e62-b717-47e1-a17b-f03be6efe36c,2cc9a88f-4f46-4ec1-afc3-0f1785c09138,card,adyen,PAID
3bbaf04c-592d-4d07-ac59-91c9c67b8ec9,381ac466-f1ab-4057-877b-b4d8b9e3c324,21c99982-e946-4ba0-a704-76c416955add,card,adyen,PAID
1f2f4b7b-63dc-4736-8b4c-dd6e2fa12607,123fa979-0959-4d38-bbe0-a2fea8425568,a48be0c4-8457-4b33-921e-cb62afc073e9,cash,,PAID
20813236-cb18-46fc-84a2-f1412e45ccbc,1ae53252-830b-43c8-878a-f6804736c448,dc45f2cf-2617-4d5a-9949-47bf34f03ee0,card,adyen,PAID
aaaf04d5-75ff-4138-ac1f-f7aeb9aed6ec,0625bb28-cf42-4235-86a2-936706d303dd,baf1dfbe-d611-4add-9db4-732c1613aae8,cash,,PAID
4efbaf50-e900-4332-9bca-1348a673358e,5ca8549a-6443-40d8-a9ef-ef3e8cb5182d,7493571c-9d30-41f1-bf3e-4d287a3feed6,card,adyen,PAID
459acad7-3950-4786-8b0e-7b2f72715bb8,08aabc98-2f30-41a2-a71e-3baf8eb35340,00b2e1df-e2af-4740-ba5b-a107f2508dd5,cash,,PAID
093098e8-068e-4103-bcd8-7d5b83412695,ad1dcb50-23ad-4c52-8e96-a72e3428edb5,3e5e5a3c-aba9-4d63-b500-9ada6671bae9,card,adyen,PAID
1e9b1c05-4c09-4ea2-aadf-3a6755ec7e53,d64549e0-a72f-4fdc-8df3-39ee2527287b,36313674-0baf-4e85-9851-11786d23b107,card,adyen,PAID
8788a069-9583-4fd1-8cba-8b612b2c013c,c0e72f03-0a2e-4622-a3cf-870d28998a55,8631d995-fb88-43f1-89a9-64f021f19df3,card,adyen,PAID
1e405657-641e-4312-9d50-a0d797c9fecf,3a11ab68-5c02-41a6-9fde-d9a9fef39e8d,7a622a74-db8f-4370-adeb-6d1ec3d02a81,card,adyen,PAID
f46694c2-1ece-4206-84d0-97780519624e,2ab8a3e7-6b01-4d22-acef-6ffa64d3ea63,89e797ab-ade1-498d-bee2-1f3559d17468,cash,,PAID
152b584d-0811-4502-b716-25e51e8b044e,f52af9d2-a067-4ad2-934d-64f5113141e1,f4057bb3-ac9c-4846-8b90-1788566273fc,cash,,PAID
ccfa1d26-6d0a-4a2d-b734-4e698918f562,e9204765-2212-4bda-a0ed-03277d34f4de,4060203c-f28f-464a-be71-de541610f696,cash,,PAID
f3e6415c-a5c0-4c79-b011-30ad44292392,892184ac-906e-4a2d-b88e-cf110ca5085b,a94b1d88-0e11-4986-a499-1ff4b5fd9323,card,adyen,PAID
d7c3027a-3d30-4257-95d4-2d8d691155ce,df81ad98-94b1-45d8-8d2d-42418918054b,d39d353b-eb47-4cb2-8a75-bca6465d5213,card,adyen,PAID
24477af3-ad27-476e-968a-b8e690825010,9b5c5955-bc19-48f7-8c7c-c50916d83269,01605358-9795-45d1-a56e-9ec824b561fe,card,adyen,PAID
4166ab20-4aa4-4f83-bc53-440f31bc9c50,32011c25-2cea-4b0a-952f-c4d6537f1d9f,075c0eaa-edae-4c5f-ab2c-e3ada1a242af,cash,,PAID
3d20709e-187f-4875-b03c-9df6ad9ae84e,e3e7402f-f884-4747-bf12-9f6fd2c99cc1,10019900-2cf0-4818-ae7c-bc0336a2c8d2,cash,,PAID
028bad9f-370a-4b13-8ca4-fbe67c268443,02807483-3988-4829-bb73-084026355519,aacb5ce1-6f2f-4ee1-9f3f-895373370ca9,cash,,PAID
4907fde3-ae84-455d-be7e-5ff20c71b171,b4aae764-6caf-46d1-b552-c086579d1ea9,9c8903c6-a3ca-4f4f-867c-f7522b3ef5b7,card,adyen,PAID
facf33c3-de22-411f-bca1-ece6b24c59a5,e445dab7-e0cf-49d4-98c1-b6eb217fefa8,43a1d05c-9d9c-4fdf-8adc-91a4d65f959b,card,adyen,PAID
696d7a5f-d0dd-4b3c-836b-c1abe14a6f8b,335c43c9-af2b-4b78-959b-4949aea0db36,4509e672-7f51-4062-8b42-1c23bf0532c1,card,adyen,PAID
7b485051-8e3b-49a4-aa28-9efb227babe4,ccd094c4-f11b-4591-9f1b-2c05f6d698a3,b3d22c66-39d0-4cc6-b5df-ab012a1c891d,card,adyen,PAID
4a7aa6d6-1bf9-4f0a-b6e2-d0a95e631b37,b7f371cd-6ba8-4265-993f-20717e2891e4,df0fd31d-da31-49f5-afed-5332022deb67,cash,,PAID
f87c9e2d-22e2-4ee7-9026-384960e93531,f7d26e4f-e7de-44d5-9b3f-e7b3dbe1f5de,c03bfcee-b956-41b5-9ff9-13e9afb8d023,cash,,PAID
b552cf28-269a-4687-b655-8c0c3f41313b,3971797a-7ef3-4b0b-bb50-ef8fcf498011,1fa96110-1a41-4c1a-b504-00b4d20848b0,cash,,PAID
fa989aed-aa55-464a-8e7e-958e782a5674,da58f9ed-1912-4d21-8873-6e5f5fba2b69,bbaf2293-7385-4a71-834b-28c2dd2c851e,cash,,PAID
34416d57-6654-4df6-bd2c-41fe52f28aa5,7786039f-140f-4996-8cc9-23362776156c,afff9106-ff39-4510-a8d9-1b69ca37688e,card,adyen,PAID
0a0eadb6-854c-4166-9aea-8746506a72d6,1fa08689-589c-4ebf-bd70-dc80855bf2e3,6be25fba-4971-4d97-8098-9669fa3e680c,card,adyen,PAID
df511cd3-110e-4078-9e1b-62031c45583b,63e9ee84-7146-4456-af48-d9c7fe78d5f9,984de21c-757e-42bb-869f-21b1ef200556,cash,,PAID
fd5487fc-2f11-4068-b33b-9f734d12f7da,658dc109-6d24-4c6d-9ea2-16c287df77ba,c311c404-b7de-40d1-839b-3a89a5ad7715,card,adyen,PAID
e8b2a135-bce8-430f-baa4-72cee24263c2,16311562-fbaa-4b98-abb9-fc4726b870e3,3ccb90b5-a46c-4280-87e3-99b889ba006d,card,adyen,PAID
7fd1c66b-d53c-4ece-9139-35169d122051,5b37eb80-5dc9-4903-9061-563975c485b9,ebc429be-7789-447f-868d-28e077179318,cash,,PAID
