age,gender,has_offer,order_type,total_price,payment_method,payment_card_gateway
2,0,0,1,0.6005428271164893,0,0
2,0,0,2,-0.04730340098665848,0,0
2,1,1,2,0.7442468995320967,0,0
2,1,0,0,-0.04730340098665848,1,1
2,1,0,2,0.023370732988230367,0,0
2,1,0,2,0.05870779997567479,0,0
2,1,0,2,0.44741553683756347,0,0
2,1,0,1,0.4709735814958597,1,1
2,1,0,0,1.0128086086366743,0,0
2,0,0,2,0.8596813183577484,0,0
2,0,0,0,0.9303554523326373,1,1
2,1,1,1,0.6853517878863559,0,0
2,0,0,2,0.6947750057496744,0,0
2,1,1,2,0.7913629888486892,0,0
2,0,0,1,0.9185764300034891,0,0
2,0,0,1,1.7077709260564147,0,0
2,0,0,0,0.12938193395056363,1,1
2,0,0,2,1.8020031046895997,0,0
2,0,0,0,1.4604114571443036,0,0
2,1,0,2,-0.20043069126558433,1,1
2,1,0,2,1.6488758144106739,0,0
2,0,0,1,1.2130519882321926,1,1
2,1,1,0,0.7371794861346077,0,0
2,0,0,2,-0.21220971359473245,1,1
2,1,1,2,0.697130810215504,0,0
2,1,1,1,0.7489585084637559,0,0
2,1,0,0,1.6253177697523775,0,0
2,1,0,0,0.27073020190034136,0,0
2,1,1,0,0.5204454752782819,0,0
2,0,0,0,1.4604114571443036,0,0
2,1,1,2,0.6311682851722744,1,1
2,0,0,2,1.6135387474232294,1,1
2,1,0,2,1.6370967920815258,0,0
2,1,1,2,0.7725165531220521,0,0
2,0,0,0,1.1070407872698593,0,0
2,1,0,2,1.7548870153730072,0,0
2,0,0,0,-0.10619851263239918,0,0
2,0,0,2,-0.14153557961984362,0,0
2,0,0,0,1.4132953678277111,0,0
2,1,0,2,0.6123218494456374,1,1
2,1,0,1,-0.43601113784854717,0,0
2,0,0,2,1.589980702764933,1,1
2,1,0,2,2.072920618260007,0,0
2,1,0,2,1.2837261222070815,0,0
2,1,0,1,-0.04730340098665848,0,0
2,1,0,0,0.7065540280788226,1,1
2,1,0,2,0.5180896708124523,0,0
2,1,0,2,0.1529399786088599,0,0
2,0,1,0,0.7324678772029485,1,1
2,0,1,2,0.8738161451527262,1,1
2,0,0,2,-0.40067407086110274,0,0
2,1,0,0,1.578201680435785,0,0
2,1,0,0,1.1423778542573038,1,1
2,1,1,2,1.945707177105207,0,0
2,1,0,1,0.3649623805335265,1,1
2,0,0,2,-0.14153557961984362,0,0
2,1,0,2,2.2024898638806367,0,0
2,0,0,1,0.8479022960286002,0,0
2,1,0,1,0.494531626154156,0,0
2,1,0,0,1.2719470998779334,0,0
2,1,0,0,0.989250563978378,1,1
2,0,1,1,0.8267000558361336,0,0
2,1,0,2,0.9656925193200817,0,0
2,1,0,2,0.7536701173954151,1,1
2,1,0,2,1.001029586307526,0,0
2,1,0,1,1.7195499483855627,1,1
2,0,1,2,0.273086006366171,0,0
2,1,0,2,1.6488758144106739,1,1
2,0,1,0,1.0552130890216076,0,0
2,0,0,0,0.7301120727371189,0,0
2,1,0,0,0.21183509025460062,0,0
2,0,1,1,0.5557825422657263,0,0
2,1,0,0,0.6241008717747856,0,0
2,1,0,2,-0.0237453563283622,1,1
2,0,0,2,0.8007862067120077,0,0
2,0,1,2,1.090550156009052,0,0
2,0,0,0,0.6123218494456374,0,0
2,0,0,2,0.7654491397245633,0,0
2,0,0,2,1.4721904794734517,0,0
2,0,0,0,0.44741553683756347,0,0
2,1,0,0,0.21183509025460062,0,0
2,0,0,2,1.5075275464608962,1,1
2,1,0,1,-0.04730340098665848,0,0
2,1,1,2,1.3567560606478,1,1
2,1,1,0,0.17885382773298583,0,0
2,0,1,2,0.3790972073285042,0,0
2,0,0,2,0.24717215724204505,1,1
2,0,0,2,0.8007862067120077,0,0
2,1,0,2,-0.506685271823436,0,0
2,1,0,1,1.001029586307526,0,0
2,0,0,2,0.7183330504079707,0,0
2,1,0,2,0.12938193395056363,0,0
2,0,0,0,0.30606726888778574,1,1
2,0,0,2,0.7772281620537114,0,0
2,0,0,1,0.18827704559630434,1,1
2,0,0,0,0.7418910950662669,1,1
2,1,0,1,1.4486324348151554,0,0
2,0,0,2,1.1777149212447482,0,0
2,1,0,1,1.4132953678277111,0,0
2,0,0,0,1.7666660377021552,0,0
2,0,0,2,1.2130519882321926,0,0
2,1,0,0,-0.12975655729069546,0,0
2,1,0,2,1.5075275464608962,0,0
2,0,0,0,1.2601680775487851,1,1
2,0,0,2,1.071703720282415,1,1
2,1,0,1,1.0599246979532668,1,1
2,0,1,0,1.2271868150271703,1,1
2,0,1,2,0.7442468995320967,0,0
2,1,0,2,0.8007862067120077,0,0
2,0,1,2,1.5734900715041258,1,1
2,0,0,2,1.566422658106637,1,1
2,0,1,1,-0.22163293145805096,0,0
2,1,1,2,1.5216623732558738,0,0
2,0,0,0,-0.14153557961984362,0,0
2,1,0,0,0.8361232736994522,0,0
2,0,0,2,1.2955051445362296,1,1
2,1,0,2,1.2837261222070815,0,0
2,1,0,0,0.2000560679254525,0,0
2,0,0,0,0.9656925193200817,0,0
2,1,0,2,1.2837261222070815,0,0
2,1,0,0,0.08226584463397107,0,0
2,1,0,2,0.6947750057496744,0,0
2,1,1,0,2.3226358916379475,0,0
2,0,0,0,-0.0826404679741029,0,0
2,1,0,2,1.236610032890489,1,1
2,1,0,2,0.24717215724204505,1,1
2,0,0,1,1.1777149212447482,0,0
2,1,1,1,1.439209216951837,0,0
2,1,0,2,1.3426212338528223,0,0
2,1,1,2,0.31313468228527463,0,0
2,0,0,1,-0.3535579815445102,0,0
2,1,1,2,0.32020209568276353,1,1
2,0,1,2,-0.9472207069335765,0,0
2,1,1,0,1.6276735742182071,0,0
2,0,0,2,1.2248310105613407,0,0
2,1,0,2,0.9774715416492298,0,0
2,0,0,2,0.3649623805335265,0,0
2,0,0,0,0.989250563978378,1,1
2,1,0,1,0.989250563978378,1,1
2,0,0,2,1.8020031046895997,0,0
2,1,0,0,1.4721904794734517,1,1
2,1,0,2,0.8479022960286002,0,0
2,0,0,0,0.8479022960286002,0,0
2,1,0,1,1.6135387474232294,0,0
2,0,0,2,1.3426212338528223,0,0
2,1,0,1,0.9656925193200817,0,0
2,1,0,2,0.5652057601290449,0,0
2,1,0,0,0.5416477154707486,0,0
2,1,0,0,1.236610032890489,1,1
2,1,0,1,0.44741553683756347,1,1
2,1,0,2,1.8491191940061922,1,1
2,0,0,2,0.03514975531737851,0,0
2,1,0,2,1.5310855911191925,1,1
2,1,0,0,-0.6951496290898063,0,0
2,0,1,0,0.7489585084637559,1,1
2,0,1,2,0.6076102405139782,0,0
2,0,0,0,1.4486324348151554,0,0
2,0,1,2,0.8738161451527262,1,1
2,0,0,2,1.4015163454985629,1,1
2,0,1,1,-0.03316857419168071,0,0
2,1,0,2,0.22361411258374878,0,0
2,1,0,0,-0.00018731167006591682,0,0
2,0,1,2,1.0505014800899484,0,0
2,0,0,0,0.8596813183577484,0,0
2,0,0,2,0.6947750057496744,0,0
2,1,0,0,0.6241008717747856,0,0
2,1,0,0,-0.41245309319025086,0,0
2,0,0,2,2.579418578413377,0,0
2,0,0,2,-0.43601113784854717,1,1
2,0,0,1,1.7077709260564147,0,0
2,0,0,2,1.248389055219637,1,1
2,0,0,2,1.0128086086366743,0,0
2,0,0,1,0.14116095627971179,0,0
2,1,0,2,1.3426212338528223,0,0
2,0,0,0,1.3426212338528223,1,1
2,0,0,2,1.236610032890489,0,0
2,0,0,2,1.9315723503102293,0,0
2,1,1,0,2.004602288750948,0,0
2,0,1,1,1.2436774462879778,0,0
2,0,0,1,0.3178462912169339,1,1
2,0,1,2,1.0552130890216076,0,0
2,1,0,2,0.2353931349128969,0,0
2,0,0,0,-0.41245309319025086,1,1
2,0,1,2,0.3084230733536154,0,0
2,0,1,0,0.15529578307468955,0,0
2,1,0,2,0.2353931349128969,0,0
2,0,1,2,-0.00961052953338443,1,1
2,0,0,0,1.6724338590689702,0,0
2,0,0,1,-0.5773594057983248,0,0
2,0,0,2,0.9185764300034891,0,0
2,0,0,1,0.8361232736994522,0,0
2,0,0,2,0.9539134969909335,0,0
2,0,0,0,0.3178462912169339,0,0
2,0,0,0,1.2719470998779334,1,1
2,1,0,2,-0.8836139863561765,0,0
2,0,0,2,1.001029586307526,1,1
2,1,0,1,0.9303554523326373,1,1
2,1,0,2,1.0952617649407113,1,1
2,0,0,0,2.226047908538933,0,0
2,1,0,0,0.3767414028626746,0,0
2,1,1,0,-0.4525017691093545,1,1
2,1,1,2,-0.052015009918317735,0,0
2,0,0,2,2.0375835512725624,0,0
2,1,0,2,0.7536701173954151,1,1
2,0,1,2,0.9680483237859113,1,1
2,1,0,0,0.6005428271164893,0,0
2,0,0,0,0.5063106484833042,0,0
2,1,0,2,0.3178462912169339,0,0
2,1,0,0,0.03514975531737851,0,0
2,1,0,0,0.8125652290411558,0,0
2,1,0,2,1.319063189194526,0,0
2,0,0,2,0.41207846985011903,1,1
2,0,0,2,1.1188198095990074,1,1
2,0,1,1,1.2318984239588298,0,0
2,1,0,1,-0.0826404679741029,0,0
2,0,1,2,-0.18629586447060656,0,0
2,0,0,2,1.7548870153730072,0,0
2,1,0,1,1.6135387474232294,0,0
2,1,0,2,0.9774715416492298,0,0
2,1,0,2,0.24717215724204505,0,0
2,0,0,2,1.589980702764933,0,0
2,1,0,0,0.494531626154156,1,1
2,1,0,1,1.1659358989156001,1,1
2,0,0,0,1.2955051445362296,1,1
2,1,0,2,-0.5773594057983248,0,0
2,1,0,2,1.7077709260564147,0,0
2,1,0,0,0.9539134969909335,0,0
2,1,0,2,0.494531626154156,0,0
2,0,0,1,1.6724338590689702,0,0
2,1,1,1,0.5369361065390893,0,0
2,1,0,1,0.9421344746617853,0,0
2,0,0,2,2.226047908538933,0,0
2,0,0,0,1.1659358989156001,0,0
2,1,0,0,0.4002994475209709,1,1
2,1,1,2,0.9609809103884224,0,0
2,0,1,0,0.04928458211235628,0,0
2,0,0,2,0.30606726888778574,0,0
2,0,0,2,1.5428646134483406,1,1
2,0,0,1,0.5652057601290449,1,1
2,0,1,2,-0.5231759030842434,0,0
2,1,0,2,1.2601680775487851,1,1
2,0,1,0,1.368535082976948,0,0
2,0,1,2,1.686568685863948,1,1
2,1,0,0,0.2589511795711932,0,0
2,1,0,0,1.7548870153730072,0,0
2,1,0,2,1.1305988319281557,0,0
2,1,0,2,0.989250563978378,1,1
2,0,0,0,0.08226584463397107,0,0
2,1,0,0,1.7666660377021552,0,0
2,0,1,0,0.2424605483103858,1,1
2,1,0,2,0.6476589164330818,0,0
2,0,1,2,0.7725165531220521,0,0
2,0,0,0,0.44741553683756347,0,0
2,0,0,0,0.5180896708124523,0,0
2,0,0,2,0.5298686931416005,0,0
2,1,0,2,1.6253177697523775,1,1
2,0,0,2,1.2955051445362296,1,1
2,1,1,2,1.2507448596854667,1,1
2,0,0,2,-0.10619851263239918,0,0
2,0,0,1,-0.20043069126558433,0,0
2,1,0,1,0.9774715416492298,0,0
2,0,0,2,0.04692877764652665,0,0
2,0,0,2,1.001029586307526,0,0
2,0,0,2,1.9669094172976738,0,0
2,0,0,0,1.6842128813981183,1,1
2,0,0,1,1.2837261222070815,1,1
2,0,0,2,-0.4477901601776953,0,0
2,0,1,2,1.7690218421679849,0,0
2,1,0,0,0.44741553683756347,1,1
2,0,0,2,0.14116095627971179,0,0
2,1,1,1,0.45448295023505236,0,0
2,1,0,0,1.9551303949685255,0,0
2,0,0,2,2.3791751988178587,0,0
2,1,0,1,0.2353931349128969,0,0
2,1,0,1,0.44741553683756347,0,0
2,1,0,0,0.989250563978378,0,0
2,0,0,2,2.261384975526377,0,0
2,0,0,0,1.896235283322785,1,1
2,0,0,2,-0.43601113784854717,1,1
2,0,0,2,1.1777149212447482,0,0
2,0,0,1,0.14116095627971179,1,1
2,0,0,2,-0.10619851263239918,1,1
2,1,0,0,0.7301120727371189,0,0
2,0,0,0,0.9421344746617853,0,0
2,0,1,1,0.4780409948933486,0,0
2,0,1,0,1.109396591735689,0,0
2,1,0,2,0.7654491397245633,0,0
2,1,0,2,0.44741553683756347,1,1
2,1,1,2,1.3261306025920148,0,0
2,0,1,0,0.5840521958556819,0,0
2,1,1,2,-0.1156217304957177,0,0
2,1,0,0,0.7654491397245633,0,0
2,0,1,2,1.109396591735689,1,1
2,0,0,0,0.3767414028626746,0,0
2,0,0,2,-0.4477901601776953,0,0
2,1,0,0,0.6947750057496744,0,0
2,0,0,2,1.578201680435785,0,0
2,0,1,0,1.3803141053060963,1,1
2,0,0,2,0.8714603406868966,1,1
2,1,0,2,0.7654491397245633,1,1
2,1,0,0,0.8361232736994522,0,0
2,0,0,1,-0.43601113784854717,0,0
2,1,0,2,0.9656925193200817,0,0
2,1,0,1,0.3531833582043783,0,0
2,0,1,2,1.5452204179141702,0,0
2,1,0,2,0.9774715416492298,0,0
